Document identifier,topic-00,topic-01,topic-02,topic-03,topic-04,topic-05,topic-06,topic-07,topic-08,topic-09,topic-10,topic-11,topic-12,topic-13,topic-14,topic-15,topic-16,topic-17,topic-18,topic-19,topic-20,topic-21,topic-22,topic-23,topic-24,topic-25,topic-26,topic-27,topic-28,topic-29
BL37496-0001,0.0009691388,0.0129873944,0.0002568546,9.04275910977266E-005,0.0008768166,0.0988653125,0.0370685259,0.0260226142,0.0003057436,0.0003486426,0.0002567647,0.0006502682,0.0005702066,0.245129317,0.0003557385,0.0004809941,0.0003559724,0.0003942216,0.0272689816,0.0010530477,0.037008141,0.491551632,0.0007978468,0.0006892409,0.0003910248,0.0004203823,0.0008464496,0.001044093,0.0003924115,0.0125517947
BL37496-0002,0.0003468041,0.000279126,9.1914842081218E-005,3.23593044554867E-005,0.0003137668,0.0659574051,0.0001597371,0.1403636245,0.0001094096,0.000124761,9.18826497210792E-005,0.000232697,0.0002040471,0.5201888835,0.0001273002,0.0001721226,0.0001273839,0.0001410713,0.0403368235,0.0134819799,0.0001381285,0.215216063,0.0002855076,0.0002466433,0.0001399273,0.0001504328,0.0003029,0.0003736263,0.0001404235,0.0001232476
BL37496-0003,0.0009240194,0.000743699,0.0002448965,8.62176254876597E-005,0.0008359954,0.0011501055,0.0004256011,0.0015329967,0.0002915093,0.0003324111,0.0002448107,0.0006199942,0.0005436599,0.5130542652,0.0003391767,0.0004586008,0.0003393996,0.0003758681,0.002721338,0.0475602284,0.0003680274,0.2824420265,0.0007607021,0.0006571525,0.0003728202,0.1167913273,0.0240851454,0.000995484,0.0003741423,0.0003283791
BL37496-0004,0.0068787008,0.0004072,0.089352859,0.000047207,0.0004577354,0.0261207983,0.0384696465,0.1410402912,0.0001596111,0.1467556999,0.000134042,0.0003394675,0.000297672,0.0005124874,0.0447950956,0.0002510993,0.0766590641,0.3761991884,0.0014900234,0.0005497354,0.0002015073,0.0016999746,0.0004165098,0.0003598129,0.0002041315,0.0002194573,0.032305729,0.0005450607,0.012950394,0.0001797985
BL37496-0005,0.3598361345,0.0009548582,0.0003144302,0.0001106975,0.0010733604,0.1658577949,0.0304339222,0.0019682621,0.0003742779,0.000426793,0.0003143201,0.0007960298,0.0604729814,0.0908641898,0.0004354795,0.0005888118,0.0004357658,0.0004825887,0.1081001896,0.0012890948,0.0004725219,0.1085925118,0.0009766891,0.0008437384,0.0004786754,0.0005146135,0.0010361865,0.0012781329,0.0602553324,0.0004216161
BL37496-0006,0.0752582163,0.0015615967,0.0005142262,0.0001810372,0.0017553978,0.4667622155,0.0008936643,0.0276582696,0.0006121025,0.0006979869,0.0005140461,0.0013018452,0.0011415607,0.1486013464,0.0007121929,0.0009629562,0.0007126611,0.0007892365,0.0057141834,0.0265475441,0.0740907611,0.1531553147,0.0015972993,0.0013798689,0.0007828366,0.0008416105,0.0016946027,0.0020902873,0.0007856127,0.0006895205
BL37496-0007,0.129516424,0.0003436837,0.0001131734,3.9843532387577E-005,0.0380374141,0.1188634538,0.0001966819,0.0007084399,0.0001347145,0.0001536163,0.0001131337,0.0002865164,0.0217661417,0.3823220505,0.0001567429,0.000211932,0.0001568459,0.000173699,0.1088321128,0.1403108461,0.0001700756,0.0552220612,0.0003515413,0.0003036882,0.0001722905,0.0001852257,0.0003729563,0.0004600405,0.0001729014,0.000151753
BL37538-0001,0.1541030424,0.0010845115,0.0003571244,0.0001257283,0.0012191042,0.103514211,0.0006206399,0.138018252,0.0004250984,0.0004847441,0.0003569993,0.0348498004,0.0177656429,0.0013649275,0.00049461,0.0006687623,0.0004949352,0.0005481159,0.3603981132,0.103301182,0.0005366822,0.0384732912,0.0011093066,0.0009583036,0.0005436713,0.0005844891,0.0011768827,0.0014516812,0.0344912827,0.0004788643
BL37538-0002,0.0011863772,0.0009548582,0.0003144302,0.0001106975,0.4493855569,0.0014766562,0.060321402,0.3157867996,0.0003742779,0.000426793,0.0003143201,0.0007960298,0.0006980219,0.0161454904,0.0004354795,0.0005888118,0.0004357658,0.0004825887,0.1230439295,0.0162328346,0.0004725219,0.0039863326,0.0009766891,0.0008437384,0.0004786754,0.0005146135,0.0010361865,0.0012781329,0.0004803729,0.0004216161
BL37538-0003,0.0012043751,0.0009693438,0.0154896433,0.0001123768,0.1983054033,0.0014990577,0.0005547322,0.3054069822,0.0003799558,0.0004332676,0.0003190884,0.000808106,0.0007086112,0.0012199816,0.0156125289,0.0005977444,0.0004423765,0.0004899098,0.3069558769,0.0013086509,0.0308205763,0.0950694653,0.0009915059,0.0008565383,0.0156563802,0.0005224204,0.0010519059,0.0012975227,0.0004876604,0.0004280122
BL37538-0004,0.0014724228,0.0011850826,0.0003902419,0.0001373876,0.2053469716,0.0203794918,0.0006781943,0.0024428266,0.0004645194,0.0005296964,0.0003901053,0.0009879593,0.0194131222,0.020038304,0.0005404772,0.0192775807,0.0005408325,0.0005989449,0.3010852675,0.0015999064,0.0005864509,0.3758834982,0.0197589784,0.0010471709,0.0005940881,0.0006386912,0.0012860198,0.0015863015,0.0005961948,0.0005232713
BOD+b2-0001,0.0013032278,0.0010489057,0.0003453995,0.0001216005,0.0011790796,0.0016220974,0.0334314693,0.0021621233,0.0004111419,0.0004688294,0.0660076901,0.0008744337,0.0007667726,0.1983073499,0.0004783714,0.000646806,0.0004786859,0.0005301206,0.1351629712,0.4118061344,0.0005190623,0.135703784,0.0010728867,0.0009268413,0.0005258219,0.0005652996,0.0011382442,0.0014040208,0.0005276866,0.0004631426
BOD+b2-0002,0.0053218546,0.0042833059,0.0014104719,0.0004965671,0.071849557,0.0066239887,0.0024512331,0.0088292359,0.0016789369,0.0019145093,0.0014099779,0.0035708331,0.0031311887,0.0053908161,0.0019534751,0.0026412939,0.0019547593,0.002164798,0.1497427897,0.0057826252,0.00211964,0.5541592921,0.0043812348,0.0037848445,0.0021472438,0.0023084548,0.1387174757,0.0057334523,0.0021548582,0.0018912868
BOD+c12-0001,0.2194928315,0.0129933672,0.0042786528,0.0015063316,0.0146059023,0.020093806,0.007435792,0.026783402,0.0050930388,0.0058076454,0.0042771543,0.0108320877,0.0094984306,0.0163529888,0.0059258478,0.0080123396,0.0059297436,0.0065668939,0.2508942735,0.0175415379,0.0064299076,0.2575936169,0.0132904336,0.0114812893,0.0065136432,0.0070026754,0.0141000528,0.0173923723,0.0065367415,0.0057372001
